Kolom,Missing,Status
bawang_daun,8,Sebelum
bawang_merah,7,Sebelum
bawang_putih,18,Sebelum
bayam,5,Sebelum
buncis,8,Sebelum
cabai_rawit,3,Sebelum
kacang_panjang,3,Sebelum
kangkung,3,Sebelum
kembang_kol,13,Sebelum
kentang,17,Sebelum
ketimun,3,Sebelum
kubis,17,Sebelum
labu_siam,11,Sebelum
paprika,18,Sebelum
sawi,9,Sebelum
terung,3,Sebelum
tomat,3,Sebelum
wortel,18,Sebelum
cabai_besar,7,Sebelum
cabai_keriting,3,Sebelum
jamur_tiram,11,Sebelum
jamur_merang,21,Sebelum
jamur_lain,17,Sebelum
bawang_daun,0,Sesudah
bawang_merah,0,Sesudah
bawang_putih,0,Sesudah
bayam,0,Sesudah
buncis,0,Sesudah
cabai_rawit,0,Sesudah
kacang_panjang,0,Sesudah
kangkung,0,Sesudah
kembang_kol,0,Sesudah
kentang,0,Sesudah
ketimun,0,Sesudah
kubis,0,Sesudah
labu_siam,0,Sesudah
paprika,0,Sesudah
sawi,0,Sesudah
terung,0,Sesudah
tomat,0,Sesudah
wortel,0,Sesudah
cabai_besar,0,Sesudah
cabai_keriting,0,Sesudah
jamur_tiram,0,Sesudah
jamur_merang,0,Sesudah
jamur_lain,0,Sesudah
