kab_kota,bawang_daun,bawang_merah,bawang_putih,bayam,buncis,cabai_rawit,kacang_panjang,kangkung,kembang_kol,kentang,ketimun,kubis,labu_siam,paprika,sawi,terung,tomat,wortel,cabai_besar,cabai_keriting,jamur_tiram,jamur_merang,jamur_lain
Ogan Komering Ulu,0,673,NA,260,NA,813,2096,482,425,NA,191,NA,NA,NA,NA,1885,304,NA,NA,1336,NA,NA,NA
Ogan Komering Ilir,1905,358,NA,1034,1212,12699,4377,8665,549,NA,15797,NA,1323,NA,2179,11447,5445,NA,5861,11999,6,NA,NA
Muara Enim,6908,2310,95,3957,10654,17485,10976,13886,5810,11561,33877,22150,14510,NA,6728,42152,44854,NA,NA,41570,17,NA,NA
Lahat,8748,3,NA,1411,7025,2809,6072,3758,25,8,8514,13740,4446,8,18253,13574,11075,14855,4251,2425,NA,NA,NA
Musi Rawas,32,940,NA,6189,NA,7073,14393,9070,NA,NA,11201,NA,NA,NA,NA,12110,2781,NA,8980,13850,NA,NA,NA
Musi Banyuasin,437,280,NA,3539,1238,5894,8685,4453,NA,NA,4481,NA,52,NA,1353,8447,3873,NA,3118,7446,NA,NA,11160
Banyu Asin,56,44,NA,2666,124,3429,6429,4576,46,NA,6395,NA,427,NA,292,6317,2650,NA,1516,5371,459,NA,1
Ogan Komering Ulu Selatan,620,425,NA,94,268,3759,84,280,NA,NA,178,NA,60,NA,914,666,1405,NA,3320,2516,NA,NA,NA
Ogan Komering Ulu Timur,4322,1195,NA,5739,485,1557,3975,5938,817,NA,2659,NA,70,1,616,5019,220,NA,2052,9663,1030,NA,352
Ogan Ilir,NA,43,NA,1343,NA,7584,5416,1184,NA,NA,4414,NA,NA,NA,NA,5755,245,NA,NA,12918,NA,NA,NA
Empat Lawang,2,NA,NA,NA,19,1589,105,10,NA,NA,32,NA,7,NA,NA,508,204,NA,104,1282,NA,NA,NA
Penukal Abab Lematang Ilir,NA,NA,NA,581,NA,435,518,699,NA,NA,578,NA,NA,NA,NA,501,149,NA,354,184,4,NA,NA
Musi Rawas Utara,NA,393,NA,189,NA,811,172,148,NA,NA,68,NA,NA,NA,NA,224,37,NA,25,1468,NA,NA,NA
Kota Palembang,NA,NA,NA,644,163,71,126,1181,NA,NA,278,NA,NA,NA,1797,89,12,NA,15,85,6,NA,NA
Kota Prabumulih,0,NA,NA,2606,430,758,1442,2179,NA,NA,1196,NA,NA,NA,1417,1494,365,NA,374,716,0,NA,NA
Kota Pagar Alam,7192,5240,400,NA,7850,10815,3425,800,305,2668,4930,13305,6310,NA,7375,13051,14100,4570,NA,9650,1,NA,NA
Kota Lubuklinggau,NA,66,NA,177,24,75,203,217,NA,NA,64,NA,NA,NA,1,402,96,NA,146,107,113,NA,NA
