kab_kota,total_produksi,total_cabai,persen_cabai,total_jamur,kategori_produksi,tipe_wilayah,komoditas,produksi
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,bawang_daun,0
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,bawang_merah,673
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,bawang_putih,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,bayam,260
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,buncis,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,cabai_rawit,813
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,kacang_panjang,2096
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,kangkung,482
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,kembang_kol,425
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,kentang,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,ketimun,191
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,kubis,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,labu_siam,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,paprika,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,sawi,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,terung,1885
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,tomat,304
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,wortel,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,cabai_besar,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,cabai_keriting,1336
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,jamur_tiram,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,jamur_merang,NA
Ogan Komering Ulu,8465,NA,NA,NA,Sedang,Kabupaten,jamur_lain,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,bawang_daun,1905
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,bawang_merah,358
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,bawang_putih,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,bayam,1034
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,buncis,1212
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,cabai_rawit,12699
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,kacang_panjang,4377
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,kangkung,8665
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,kembang_kol,549
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,kentang,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,ketimun,15797
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,kubis,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,labu_siam,1323
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,paprika,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,sawi,2179
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,terung,11447
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,tomat,5445
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,wortel,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,cabai_besar,5861
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,cabai_keriting,11999
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,jamur_tiram,6
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,jamur_merang,NA
Ogan Komering Ilir,84856,30559,36.01,NA,Sedang,Kabupaten,jamur_lain,NA
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,bawang_daun,6908
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,bawang_merah,2310
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,bawang_putih,95
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,bayam,3957
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,buncis,10654
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,cabai_rawit,17485
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,kacang_panjang,10976
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,kangkung,13886
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,kembang_kol,5810
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,kentang,11561
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,ketimun,33877
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,kubis,22150
Muara Enim,289500,NA,NA,NA,Tinggi,Kabupaten,labu_siam,14510
